"Venue
",Year/volume,Title,DOI,Uses (workloads of) workflow traces in experiments?,WFs realistic (real world data)?,"# Different workflow applications (types, e.g. Montage, LIGO, etc.)",Data open source?,How many WFs do they use?,Size of the largest WF (amount of tasks),Size of the smallest WF,Notes,Domains,Fields,Citations
Euro-Par,2017,A Simplified Model for Simulating the Execution of a Workflow in Cloud,,y,n,2,,240,91,29,"synthetic, synthetic","scientific, scientific","uncategorized, uncategorized",1
JSSPP,2009,Dynamic Resource-Critical Workflow Scheduling in Heterogeneous Environments,,n,,,,,,,,,,8
JSSPP,2012,On Workflow Scheduling for End-to-End Performance Optimization in Distributed Network Environments,,n,,,,,,,,,,11
JSSPP,2013,Distributed Workflow Scheduling Under Throughput and Budget Constraints in Grid Environments,,n,,,,,,,,,,4
JSSPP,2017,Towards Efficient Resource Allocation for Distributed Workflows Under Demand Uncertainties,,n,,,,,,,,,,4
JSSPP,2017,Programmable In Situ System for Iterative Workflows,,n,,,,,,,,,,0
WORKS,2009,A simulation toolkit to investigate the effects of grid characteristics on workflow completion time,,n,,,,,,,,,,5
WORKS,2009,Web enabling desktop workflow applications,,n,,,,,,,,,,7
WORKS,2009,Workflow management for paramedical emergency operations within a mobile-static distributed environment,,n,,,,,,,,,,2
WORKS,2009,Plasma fusion code coupling using scalable I/O services and scientific workflows,,n,,,,,,,,,,18
WORKS,2009,Towards scientific workflow patterns,,n,,,,,,,,,,35
WORKS,2009,Scheduling data-intensive workflows on storage constrained resources,,n,,,,,,,,,,32
WORKS,2009,Workflow representation and runtime based on lazy functional streams,,n,,,,,,,,,,5
WORKS,2009,A data-driven workflow language for grids based on array programming principles,,n,,,,,,,,,,88
WORKS,2009,Publish/subscribe as a model for scientific workflow interoperability,,n,,,,,,,,,,6
WORKS,2009,Pipeline-centric provenance model,,n,,,,,,,,,,43
WORKS,2009,A navigation model for exploring scientific workflow provenance graphs,,n,,,,,,,,,,23
WORKS,2009,Kepler + Hadoop: a general architecture facilitating data-intensive applications in scientific workflow systems,,n,,,,,,,,,,138
WORKS,2009,Scientific workflow design with data assembly lines,,n,,,,,,,,,,29
WORKS,2014,User-Oriented Partial Result Evaluation in Workflow-Based Science Gateways,,n,,,,,,,,,,3
WORKS,2014,Sensitivity Analysis for Time Dependent Problems: Optimal Checkpoint-Recompute HPC Workflows,,n,,,,,,,,,,0
WORKS,2014,A Performance Model to Estimate Execution Time of Scientific Workflows on the Cloud,,n,,,,,,,,,,55
WORKS,2014,Execution Time Estimation for Workflow Scheduling,,n,,,,,,,,,,36
WORKS,2014,Workflow Management for Real-Time Analysis of Lightsource Experiments,,n,,,,,,,,,,17
WORKS,2014,Combining Workflow Templates with a Shared Space-Based Execution Model,,n,,,,,,,,,,9
WORKS,2014,Towards Workflow Ecosystems through Semantic and Standard Representations,,n,,,,,,,,,,9
WORKS,2014,A Cleanup Algorithm for Implementing Storage Constraints in Scientific Workflow Executions,,y,y,2,?,200,1000,1000,They used real traces (Montage and CyberShake) to generate synthetic workflows with the workflow generation toolkit,"scientific, scientific","astronomy, geology",10
WORKS,2014,Workflows in a Dashboard: A New Generation of Usability,,n,,,,,,,,,,13
WORKS,2014,Increasing Scientific Workflow Programming Productivity with HyperFlow,,n,,,,,,,,,,17
e-Science,2010,Metabolic Flux Analysis in the Cloud,,n,,,,,,,,,,14
e-Science,2010,A Revolutionary New Paradigm for the Reduction and Analysis of Astronomical Images,,n,,,,,,,,,,0
e-Science,2010,Electrochemical Parameter Optimization Using Scientific Workflows,,n,,,,,,,,,,6
e-Science,2010,AMOS: Using the Cloud for On-Demand Execution of e-Science Applications,,n,,,,,,,,,,29
e-Science,2010,A Semantic eScience Platform for Chemistry,,n,,,,,,,,,,15
e-Science,2010,Tracking and Sketching Distributed Data Provenance,,y,y,1,?,?,?,?,,uncategorized,uncategorized,29
e-Science,2010,Bridging the Gap between Business and Scientific Workflows: Humans in the Loop of Scientific Workflows,,n,,,,,,,,,,41
e-Science,2010,High-Performance Scientific Computing for the Masses: Developing Secure Grid Portals for Scientific Workflows,,n,,,,,,,,,,5
e-Science,2010,"Play It Again, SAM -- Using Scientific Workflows to Drive the Generation of Semantic Annotations",,n,,,,,,,,,,3
e-Science,2013,Balanced Task Clustering in Scientific Workflows,,y,n,2,?,?,500,400,"LIGO, Epigenomics, by WorkflowGenerator","scientific, scientific","physics, bioinformatics",35
e-Science,2013,Beyond Scientific Workflows: Networked Open Processes,,n,,,,,,,,,,3
e-Science,2015,Enhanced Usability of Managing Workflows in an Industrial Data Gateway,,n,,,,,,,,,,2
e-Science,2015,Computer-Assisted Workflow Composition Based on Virtual Simulation Objects Technology,,n,,,,,,,,,,1
e-Science,2015,Data Analytics in Bioinformatics: Data Science in Practice for Genomics Analysis Workflows,,n,,,,,,,,,,5
e-Science,2015,Scaling Up Bioinformatics Workflows with Dynamic Job Expansion: A Case Study Using Galaxy and Makeflow,,n,,,,,,,,,,5
e-Science,2015,Scientific Workflow Interchanging through Patterns: Reversals and Lessons Learned,,n,,,,,,,,,,3
e-Science,2015,Bootstrapping Complex Workflow Middleware Systems into the Cloud,,n,,,,,,,,,,11
e-Science,2015,A Quantitative Study on the Re-executability of Publicly Shared Scientific Workflows,,n,,,,,,,,,,12
